step,close,price_return,action_delta,raw_target,risk_cap,shielded_target,target_position,prev_position,position,executed_trade,locked_position,sellable_position,limit_up,limit_down,pnl,cost,equity,max_equity,drawdown,dd_increase,signal,desired_pos_raw,desired_pos,part_gap,part_pen,reward
28,11.71,-0.014309764309764304,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00498477748676016,0.00498477748676016,2.1116401726420615e-05,-7.111640172642062e-05
29,11.45,-0.022203245089667083,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0032401053663941044,0.0032401053663941044,1.1065981773276268e-05,-6.106598177327627e-05
30,11.74,0.02532751091703065,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.002106068488156168,0.002106068488156168,5.799091824118263e-06,-5.579909182411827e-05
31,11.84,0.008517887563884127,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0013689445173015091,0.0013689445173015091,3.038995244485995e-06,-5.3038995244485995e-05
32,11.56,-0.023648648648648594,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.000889813936245981,0.000889813936245981,1.592575592198478e-06,-5.159257559219848e-05
33,11.95,0.03373702422145318,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0005783790585598877,0.0005783790585598877,8.345840690169666e-07,-5.083458406901697e-05
34,11.81,-0.011715481171548017,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.000375946388063927,0.000375946388063927,4.373610720075071e-07,-5.043736107200751e-05
35,12.13,0.02709568162574092,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.028349127151909806,0.022679301721527847,0.008182120754776298,0.008182120754776298,4.440686123025174e-05,-0.0006783988805595938
36,12.14,0.0008244023083264457,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.08300455534330509,0.06640364427464407,0.028559653986730018,0.028559653986730018,0.000289588067379375,-0.00204948190745146
37,11.93,-0.01729818780889628,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.07259682219303591,0.058077457754428734,0.03889088530542457,0.03889088530542457,0.0004601749720187872,-0.002005669509195327
38,11.62,-0.025984911986588474,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.07752735745238137,0.0620218859619051,0.04698673553519275,0.04698673553519275,0.0006111026397521138,-0.00225816620327117
39,11.61,-0.0008605851979345772,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.030541378097875292,0.030541378097875292,0.00032024635450256657,-0.0003702463545025666
40,11.52,-0.007751937984496112,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01985189576361894,0.01985189576361894,0.00016782406244192428,-0.00021782406244192428
41,11.75,0.019965277777777814,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.012903732246352311,0.012903732246352311,8.794765510526733e-05,-0.00013794765510526734
42,11.45,-0.025531914893617082,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.008387425960129003,0.008387425960129003,4.608868314811347e-05,-9.608868314811347e-05
43,11.85,0.03493449781659392,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.005451826874083852,0.005451826874083852,2.415262478328405e-05,-7.415262478328405e-05
44,11.71,-0.01181434599156108,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.05847013306329877,0.04677610645063902,0.01991532472587816,0.01991532472587816,0.00016862902872586208,-0.0014231137698298168
45,11.45,-0.022203245089667083,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.011107714257917676,0.008886171406334142,0.016055121064037756,0.016055121064037756,0.0001220595114871567,-0.00040087842520026087
46,11.51,0.005240174672489127,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.010435828691624542,0.010435828691624542,6.396489074565622e-05,-0.00011396489074565623
47,11.54,0.002606429192006895,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.006783288649555953,0.006783288649555953,3.352059334216041e-05,-8.352059334216041e-05
