step,close,price_return,action_delta,raw_target,risk_cap,shielded_target,target_position,prev_position,position,executed_trade,locked_position,sellable_position,limit_up,limit_down,pnl,cost,equity,max_equity,drawdown,dd_increase,reward
30,11.74,0.02532751091703065,-0.940768837928772,0.0,1.0,0.0,0.0,0.026273556053638458,0.013147270679473876,-0.013126285374164583,0.013147270679473876,0.013126285374164583,0,0,0.0006654437777777448,1.3126285374164582e-05,0.9844568313712284,1.0,0.015543168628771586,0.0,0.0006260896071932379
31,11.84,0.008517887563884127,0.27166032791137695,0.04031330347061157,1.0,0.04031330347061157,0.04031330347061157,0.013147270679473876,0.04031330347061157,0.027166032791137697,0.0,0.013147270679473876,0,0,0.00011198697341970894,2.71660327911377e-05,0.9845403339256735,1.0,0.015459666074326472,0.0,5.662090016157223e-05
32,11.56,-0.023648648648648594,0.018931657075881958,0.04220646917819977,1.0,0.04220646917819977,0.04220646917819977,0.04031330347061157,0.04220646917819977,0.0018931657075881986,0.027166032791137697,0.013147270679473876,0,0,-0.000953355149642839,1.8931657075881987e-06,0.9835998534302965,1.0,0.016400146569703455,0.000940480495376983,-0.0008785861784284295
33,11.95,0.03373702422145318,0.4672802686691284,0.08893449604511261,1.0,0.08893449604511261,0.08893449604511261,0.04220646917819977,0.08893449604511261,0.04672802686691284,0.0018931657075881986,0.04031330347061157,0,0,0.0014239206729669428,4.672802686691284e-05,0.9849544599151457,1.0,0.015045540084854259,0.0,0.001367358596263924
34,11.81,-0.011715481171548017,-0.38796108961105347,0.05013838708400726,1.0,0.05013838708400726,0.05013838708400726,0.08893449604511261,0.05013838708400726,-0.03879610896110535,0.04672802686691284,0.04220646917819977,0,0,-0.0010419104139176283,3.879610896110535e-05,0.9838900132055769,1.0,0.016109986794423103,0.0010644467095688448,-0.001135865570341079
35,12.13,0.02709568162574092,0.34862032532691956,0.08500041961669921,1.0,0.08500041961669921,0.08500041961669921,0.05013838708400726,0.08500041961669921,0.034862032532691954,0.0,0.05013838708400726,0,0,0.0013585337736564214,3.486203253269195e-05,0.9851923606124309,1.0,0.014807639387569127,0.0,0.0008588100311650471
36,12.14,0.0008244023083264457,0.21897007524967194,0.1068974271416664,1.0,0.1068974271416664,0.1068974271416664,0.08500041961669921,0.1068974271416664,0.02189700752496719,0.034862032532691954,0.05013838708400726,0,0,7.007454214072333e-05,2.1897007524967192e-05,0.9852398247514874,1.0,0.014760175248512586,0.0,-0.0012206602518427113
37,11.93,-0.01729818780889628,-0.06305339932441711,0.10059208720922469,1.0,0.10059208720922469,0.10059208720922469,0.1068974271416664,0.10059208720922469,-0.006305339932441714,0.02189700752496719,0.08500041961669921,0,0,-0.001849131770984352,6.305339932441714e-06,0.9834117742174904,1.0,0.016588225782509625,0.0018280505339970388,-0.002913342640815107
38,11.62,-0.025984911986588474,-0.21673254668712616,0.07891883254051207,1.0,0.07891883254051207,0.07891883254051207,0.10059208720922469,0.07891883254051207,-0.021673254668712616,0.0,0.10059208720922469,0,0,-0.002613876532678936,2.1673254668712616e-05,0.9808199435250763,1.0,0.019180056474923712,0.0025918306924140877,-0.0039320240519992705
39,11.61,-0.0008605851979345772,0.41213303804397583,0.12013213634490966,1.0,0.12013213634490966,0.12013213634490966,0.07891883254051207,0.12013213634490966,0.04121330380439758,0.0,0.07891883254051207,0,0,-6.791637912264234e-05,4.121330380439759e-05,0.980712906955631,1.0,0.01928709304436904,0.00010703656944532902,-3.516179847309016e-05
40,11.52,-0.007751937984496112,-0.4293583929538727,0.07719629704952238,1.0,0.07719629704952238,0.07719629704952238,0.12013213634490966,0.07719629704952238,-0.042935839295387274,0.04121330380439758,0.07891883254051207,0,0,-0.0009312568708907711,4.293583929538727e-05,0.9797575035908893,1.0,0.02024249640911069,0.0009554033647416471,-0.0009921394000964783
41,11.75,0.019965277777777814,-0.6167697310447693,0.015519323945045453,1.0,0.015519323945045453,0.015519323945045453,0.07719629704952238,0.015519323945045453,-0.06167697310447693,0.0,0.07719629704952238,0,0,0.0015412455140095642,6.167697310447693e-05,0.9812071219709181,1.0,0.018792878029081916,0.0,0.0012638752114356995
42,11.45,-0.025531914893617082,1.0,0.11551932394504547,1.0,0.11551932394504547,0.11551932394504547,0.015519323945045453,0.11551932394504547,0.1,0.0,0.015519323945045453,0,0,-0.0003962380581713742,0.0001,0.9807202096540474,1.0,0.01927979034595262,0.00048691231687070236,-0.0006665338817017554
43,11.85,0.03493449781659392,-0.8928166627883911,0.02623765766620635,1.0,0.02623765766620635,0.02623765766620635,0.11551932394504547,0.1,-0.01551932394504546,0.1,0.01551932394504546,0,0,0.004035609570132596,1.551932394504546e-05,0.9846627934031166,1.0,0.015337206596883424,0.0,0.004157012950407369
44,11.71,-0.01181434599156108,-0.28451091051101685,0.07154890894889832,1.0,0.07154890894889832,0.07154890894889832,0.1,0.07154890894889832,-0.02845109105110169,0.0,0.1,0,0,-0.001181434599156108,2.8451091051101692e-05,0.9834714639796988,1.0,0.016528536020301243,0.0011913294234178196,-0.0022250025956136953
45,11.45,-0.022203245089667083,0.04693412035703659,0.07624232098460197,1.0,0.07624232098460197,0.07624232098460197,0.07154890894889832,0.07624232098460197,0.004693412035703656,0.0,0.07154890894889832,0,0,-0.0015886179612906637,4.693412035703656e-06,0.9819044877107981,1.0,0.01809551228920192,0.0015669762689006772,-0.0016569296163335212
46,11.51,0.005240174672489127,0.16932463645935059,0.09317478463053704,1.0,0.09317478463053704,0.09317478463053704,0.07624232098460197,0.09317478463053704,0.016932463645935064,0.004693412035703656,0.07154890894889832,0,0,0.00039952307939529756,1.6932463645935064e-05,0.9822801551533585,1.0,0.017719844846641464,0.0,0.0005003421763776016
47,11.54,0.002606429192006895,-0.02171647548675537,0.0910031370818615,1.0,0.0910031370818615,0.0910031370818615,0.09317478463053704,0.0910031370818615,-0.0021716475486755343,0.016932463645935064,0.07624232098460197,0,0,0.0002428534786199871,2.1716475486755344e-06,0.982516572139726,1.0,0.017483427860274015,0.0,0.00041317335794445844
