step,close,price_return,action_delta,raw_target,risk_cap,shielded_target,target_position,prev_position,position,executed_trade,locked_position,sellable_position,limit_up,limit_down,pnl,cost,equity,max_equity,drawdown,dd_increase,reward
1,14.17,-0.008397480755773214,-1.0,0.47354884256786467,0.8,0.47354884256786467,0.47354884256786467,0.5735488425678646,0.47354884256786467,-0.09999999999999998,0.0,0.5735488425678646,0,0,-0.004816365367959644,9.999999999999998e-05,0.9950836346320404,1.0,0.004916365367959585,0.004916365367959585,-0.005016785166197343
2,13.47,-0.04940014114326036,-1.0,0.3735488425678647,0.8,0.3735488425678647,0.3735488425678647,0.47354884256786467,0.3735488425678647,-0.09999999999999998,0.0,0.47354884256786467,0,0,-0.023393379661080092,9.999999999999998e-05,0.9717057570091023,1.0,0.028294242990897667,0.02337787762293808,-0.04035872884408581
3,14.78,0.09725315515961386,-1.0,0.2735488425678647,0.75852878540858,0.2735488425678647,0.2735488425678647,0.3735488425678647,0.2735488425678647,-0.09999999999999998,0.0,0.3735488425678647,0,0,0.03632880354594671,9.999999999999998e-05,1.0069094939842507,1.0069094939842507,0.0,0.0,0.036098035469925294
4,14.44,-0.0230040595399188,-1.0,0.1735488425678647,0.8,0.1735488425678647,0.1735488425678647,0.2735488425678647,0.1735488425678647,-0.1,0.0,0.2735488425678647,0,0,-0.006292733861507034,0.0001,1.0004725895665847,1.0069094939842507,0.006392733861506981,0.006392733861506981,-0.011243553473613999
5,14.66,0.015235457063711957,-1.0,0.0735488425678647,0.8,0.0735488425678647,0.0735488425678647,0.1735488425678647,0.0735488425678647,-0.1,0.0,0.1735488425678647,0,0,0.002644095939399609,0.0001,1.0030178878191818,1.0069094939842507,0.0038649016503659707,0.0,0.001584972664075457
6,14.51,-0.010231923601637131,-1.0,0.0,0.8,0.0,0.0,0.0735488425678647,0.0,-0.0735488425678647,0.0,0.0735488425678647,0,0,-0.0007525461381432285,7.35488425678647e-05,1.002189299776491,1.0069094939842507,0.004687803855222701,0.00082290220485673,-0.003914742531451394
7,14.03,-0.033080634045485904,-0.7208596467971802,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.00260056798517117
8,13.75,-0.0199572344975053,-0.977354109287262,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0031987492534315933
9,14.12,0.02690909090909085,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
10,14.07,-0.0035410764872520492,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
11,14.88,0.05756929637526656,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
12,14.53,-0.02352150537634418,-0.25282758474349976,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.005704778024410316
13,14.58,0.0034411562284928227,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.005545220131013585
14,14.11,-0.032235939643347096,-0.07601971924304962,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.008511861903847673
15,13.96,-0.010630758327427256,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
16,13.99,0.002148997134670441,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
17,13.8,-0.013581129378127199,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
18,13.06,-0.05362318840579711,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
19,12.63,-0.03292496171516077,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
20,11.96,-0.05304829770387964,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
21,12.37,0.03428093645484936,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
22,11.83,-0.043654001616814805,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
23,12.24,0.03465765004226544,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
24,12.29,0.0040849673202613505,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
25,12.54,0.020341741253051264,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
26,12.33,-0.016746411483253516,-0.6303530931472778,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.00210607770954648
27,11.88,-0.036496350364963445,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
28,11.71,-0.014309764309764304,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
29,11.45,-0.022203245089667083,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
30,11.74,0.02532751091703065,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
31,11.84,0.008517887563884127,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
32,11.56,-0.023648648648648594,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
33,11.95,0.03373702422145318,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
34,11.81,-0.011715481171548017,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
35,12.13,0.02709568162574092,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0016339650860763924
36,12.14,0.0008244023083264457,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0038201822137322035
37,11.93,-0.01729818780889628,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0034038728877214364
38,11.62,-0.025984911986588474,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.003601094298095255
39,11.61,-0.0008605851979345772,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
40,11.52,-0.007751937984496112,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
41,11.75,0.019965277777777814,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
42,11.45,-0.025531914893617082,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
43,11.85,0.03493449781659392,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
44,11.71,-0.01181434599156108,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.002838805322531951
45,11.45,-0.022203245089667083,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0009443085703167071
46,11.51,0.005240174672489127,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
47,11.54,0.002606429192006895,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
48,11.61,0.0060658578856152764,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005543990552051123
49,11.42,-0.016365202411714,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
50,10.99,-0.03765323992994744,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
51,11.13,0.012738853503184764,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
52,11.24,0.009883198562443794,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
53,11.09,-0.013345195729537398,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
54,11.27,0.016230838593327298,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.002189299776491,1.0069094939842507,0.004687803855222701,0.0,-0.0005
