date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,ret_1,ret_5,ret_20,vol_20,ma_20,price_vs_ma20,equity,rolling_max_equity,drawdown,dd,dd_increase
2018-07-09,601138,14.05,14.29,14.32,13.91,800840,1388137552.0,2.92,1.71,0.24,7.16,0.0170818505338077,-0.0083275503122831,-0.1417417417417417,0.0663656966343697,16.326,-0.124709053044224,0.8582582582582587,1.353753753753754,-0.3660159716060335,0.3660159716060335,0.0
2018-07-10,601138,14.33,14.17,14.36,14.02,656169,1137038432.0,2.38,-0.84,-0.12,5.87,-0.0083974807557731,-0.0373641304347827,-0.239398819108964,0.0595583323665493,16.103,-0.1200397441470534,0.8510510510510516,1.353753753753754,-0.3713398402839394,0.3713398402839394,0.0053238686779059075
2018-07-11,601138,13.77,13.47,13.92,13.36,792350,1326556528.0,3.95,-4.94,-0.7,7.09,-0.0494001411432604,-0.037169406719085,-0.3527150408457471,0.0517097453184936,15.736,-0.1440010167768174,0.8090090090090095,1.353753753753754,-0.4023957409050574,0.4023957409050574,0.031055900621118016
2018-07-12,601138,13.47,14.78,15.1,13.47,1794765,3159557648.0,12.1,9.73,1.31,16.05,0.0972531551596138,0.0725689404934688,-0.3442768411712511,0.0532678245362519,15.348,-0.0370080792285639,0.8876876876876881,1.353753753753754,-0.3442768411712509,0.3442768411712509,0.0
2018-07-13,601138,14.52,14.44,14.61,14.3,994409,1752297232.0,2.1,-2.3,-0.34,8.9,-0.0230040595399187,0.0277580071174377,-0.2819492789656886,0.0490789026493388,15.0645,-0.0414550765043645,0.8672672672672677,1.353753753753754,-0.3593611357586511,0.3593611357586511,0.015084294587400182
2018-07-16,601138,14.44,14.66,15.01,14.38,910022,1629162608.0,4.36,1.52,0.22,8.14,0.0152354570637118,0.025892232330301,-0.2443298969072164,0.0492931075169635,14.8275,-0.011296577305682,0.8804804804804809,1.353753753753754,-0.3496007098491569,0.3496007098491569,0.0
2018-07-17,601138,14.66,14.51,14.67,14.26,611768,1077433088.0,2.8,-1.02,-0.15,5.47,-0.0102319236016371,0.0239943542695835,-0.1534422403733956,0.0428224097652552,14.696000000000002,-0.0126565051714753,0.8714714714714719,1.353753753753754,-0.3562555456965393,0.3562555456965393,0.0066548358473823566
2018-07-18,601138,14.51,14.03,14.58,14.0,621401,1086314080.0,4.0,-3.31,-0.48,5.56,-0.0330806340454858,0.0415738678544914,-0.158872901678657,0.0429938149235739,14.5635,-0.036632677584372,0.842642642642643,1.353753753753754,-0.3775510204081631,0.3775510204081631,0.021295474711623796
2018-07-19,601138,14.0,13.75,14.2,13.69,526953,897483168.0,3.64,-2.0,-0.28,4.71,-0.0199572344975053,-0.0696887686062246,-0.0827218145430287,0.0371205367195256,14.501500000000002,-0.0518222252870393,0.8258258258258262,1.353753753753754,-0.3899733806566103,0.3899733806566103,0.012422360248447228
2018-07-20,601138,13.73,14.12,14.3,13.55,712705,1224951712.0,5.45,2.69,0.37,6.38,0.0269090909090907,-0.0221606648199446,-0.0913770913770913,0.0366219356359143,14.4305,-0.0215169259554415,0.8480480480480483,1.353753753753754,-0.3735581188997337,0.3735581188997337,0.0
