date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,ret_1,ret_5,ret_20,vol_20,ma_20,price_vs_ma20,equity,rolling_max_equity,drawdown
2018-07-09,601138,14.05,14.29,14.32,13.91,800840,1388137552.0,2.92,1.71,0.24,7.16,0.01708185053380773,-0.00832755031228316,-0.1417417417417417,0.06636569663436971,16.326,-0.12470905304422401,0.8582582582582587,1.353753753753754,-0.3660159716060335
2018-07-10,601138,14.33,14.17,14.36,14.02,656169,1137038432.0,2.38,-0.84,-0.12,5.87,-0.008397480755773179,-0.037364130434782705,-0.239398819108964,0.05955833236654937,16.103,-0.12003974414705343,0.8510510510510516,1.353753753753754,-0.3713398402839394
2018-07-11,601138,13.77,13.47,13.92,13.36,792350,1326556528.0,3.95,-4.94,-0.7,7.09,-0.04940014114326041,-0.037169406719085085,-0.3527150408457471,0.05170974531849364,15.736,-0.14400101677681748,0.8090090090090095,1.353753753753754,-0.4023957409050574
2018-07-12,601138,13.47,14.78,15.1,13.47,1794765,3159557648.0,12.1,9.73,1.31,16.05,0.09725315515961386,0.07256894049346885,-0.3442768411712511,0.05326782453625191,15.347999999999999,-0.03700807922856396,0.8876876876876881,1.353753753753754,-0.34427684117125096
2018-07-13,601138,14.52,14.44,14.61,14.3,994409,1752297232.0,2.1,-2.3,-0.34,8.9,-0.023004059539918797,0.0277580071174377,-0.28194927896568867,0.04907890264933886,15.064499999999999,-0.04145507650436453,0.8672672672672677,1.353753753753754,-0.35936113575865114
2018-07-16,601138,14.44,14.66,15.01,14.38,910022,1629162608.0,4.36,1.52,0.22,8.14,0.015235457063711877,0.025892232330301024,-0.2443298969072164,0.04929310751696355,14.8275,-0.011296577305682037,0.8804804804804809,1.353753753753754,-0.3496007098491569
2018-07-17,601138,14.66,14.51,14.67,14.26,611768,1077433088.0,2.8,-1.02,-0.15,5.47,-0.01023192360163716,0.023994354269583518,-0.1534422403733956,0.042822409765255254,14.696000000000002,-0.012656505171475346,0.8714714714714719,1.353753753753754,-0.35625554569653933
2018-07-18,601138,14.51,14.03,14.58,14.0,621401,1086314080.0,4.0,-3.31,-0.48,5.56,-0.03308063404548589,0.041573867854491464,-0.15887290167865709,0.04299381492357394,14.563500000000001,-0.03663267758437201,0.842642642642643,1.353753753753754,-0.37755102040816313
2018-07-19,601138,14.0,13.75,14.2,13.69,526953,897483168.0,3.64,-2.0,-0.28,4.71,-0.019957234497505305,-0.06968876860622464,-0.08272181454302874,0.037120536719525636,14.501500000000002,-0.05182222528703939,0.8258258258258262,1.353753753753754,-0.38997338065661036
2018-07-20,601138,13.73,14.12,14.3,13.55,712705,1224951712.0,5.45,2.69,0.37,6.38,0.02690909090909077,-0.02216066481994461,-0.09137709137709138,0.0366219356359143,14.430499999999999,-0.021516925955441555,0.8480480480480483,1.353753753753754,-0.3735581188997337
