step,close,price_return,action_delta,raw_target,risk_cap,shielded_target,target_position,prev_position,position,executed_trade,locked_position,sellable_position,limit_up,limit_down,pnl,cost,equity,max_equity,drawdown,dd_increase,signal,desired_pos,part_gap,part_pen,reward
11,14.88,0.05756929637526656,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
12,14.53,-0.02352150537634418,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.13011945061025793,0.10409556048820634,0.10409556048820634,0.0020151137308310344,-0.004745574413402348
13,14.58,0.0034411562284928227,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.12613050327533962,0.1009044026202717,0.1009044026202717,0.0019231644562334484,-0.004571452823705444
14,14.11,-0.032235939643347096,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.2002965475961918,0.16023723807695345,0.16023723807695345,0.0038485437358455675,-0.008024652616327118
15,13.96,-0.010630758327427256,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
16,13.99,0.002148997134670441,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
17,13.8,-0.013581129378127199,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
18,13.06,-0.05362318840579711,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
19,12.63,-0.03292496171516077,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
20,11.96,-0.05304829770387964,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
21,12.37,0.03428093645484936,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
22,11.83,-0.043654001616814805,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
23,12.24,0.03465765004226544,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
24,12.29,0.0040849673202613505,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
25,12.54,0.020341741253051264,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
26,12.33,-0.016746411483253516,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.040151942738662,0.0321215541909296,0.0321215541909296,0.0003454188833280441,-0.0012225489037444813
27,11.88,-0.036496350364963445,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
28,11.71,-0.014309764309764304,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
29,11.45,-0.022203245089667083,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
30,11.74,0.02532751091703065,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
31,11.84,0.008517887563884127,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
32,11.56,-0.023648648648648594,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
33,11.95,0.03373702422145318,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
34,11.81,-0.011715481171548017,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
35,12.13,0.02709568162574092,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.028349127151909806,0.022679301721527847,0.022679301721527847,0.00020492538922091345,-0.0008389174085502555
36,12.14,0.0008244023083264457,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.08300455534330509,0.06640364427464407,0.06640364427464407,0.0010266895034548235,-0.0027865833435269083
37,11.93,-0.01729818780889628,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.07259682219303591,0.058077457754428734,0.058077457754428734,0.0008397744298650185,-0.0023852689670415582
38,11.62,-0.025984911986588474,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.07752735745238137,0.0620218859619051,0.0620218859619051,0.000926763033821858,-0.002573826597340914
39,11.61,-0.0008605851979345772,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
40,11.52,-0.007751937984496112,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
41,11.75,0.019965277777777814,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
42,11.45,-0.025531914893617082,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
43,11.85,0.03493449781659392,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
44,11.71,-0.01181434599156108,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.05847013306329877,0.04677610645063902,0.04677610645063902,0.0006069981314187735,-0.0018614828725227284
45,11.45,-0.022203245089667083,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.011107714257917676,0.008886171406334142,0.008886171406334142,5.02600920427105e-05,-0.0003290790057558147
46,11.51,0.005240174672489127,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
47,11.54,0.002606429192006895,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
48,11.61,0.0060658578856152764,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0013599763801278066,0.0010879811041022453,0.0010879811041022453,2.153194587122846e-06,-8.016870801775565e-05
49,11.42,-0.016365202411714,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
50,10.99,-0.03765323992994744,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
51,11.13,0.012738853503184764,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
52,11.24,0.009883198562443794,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
53,11.09,-0.013345195729537398,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
54,11.27,0.016230838593327298,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
55,11.25,-0.0017746228926352773,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
56,11.37,0.010666666666666597,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.03743017932893328,0.029944143463146625,0.029944143463146625,0.0003108988335441159,-0.0011319605277201415
57,11.02,-0.030782761653474027,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.05184006941528299,0.041472055532226396,0.041472055532226396,0.0005067393061860115,-0.0016246447361408412
58,11.06,0.003629764065335837,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
59,10.54,-0.04701627486437625,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
60,10.55,0.0009487666034157081,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
61,10.53,-0.0018957345971565259,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
62,9.16,-0.1301044634377967,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
63,8.78,-0.04148471615720532,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
64,8.71,-0.007972665148063612,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
65,8.39,-0.03673938002296214,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
66,8.58,0.02264600715137062,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
67,8.2,-0.04428904428904438,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
68,8.43,0.028048780487804934,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
69,9.47,0.12336892052194555,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
70,9.01,-0.04857444561774032,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.14934174411289752,0.11947339529031803,0.11947339529031803,0.002477753278043202,-0.005604193206768891
71,9.01,0.0,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.06530628093180985,0.05224502474544788,0.05224502474544788,0.0007165040659021077,-0.0021118134530973905
72,8.82,-0.021087680355160877,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0164928705514511,0.01319429644116088,0.01319429644116088,9.093490268041773e-05,-0.00048068803604031033
73,8.91,0.010204081632653045,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.07161824008868053,0.05729459207094443,0.05729459207094443,0.0008228519409130891,-0.0023481876867399083
74,8.89,-0.00224466891133553,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.05102192330412181,0.04081753864329745,0.04081753864329745,0.0004947906329505256,-0.0015958422530154347
75,8.92,0.003374578177727712,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
76,9.07,0.01681614349775789,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
77,9.17,0.011025358324145496,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
78,9.43,0.028353326063249706,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.11033362285413494,0.08826689828330796,0.08826689828330796,0.0015734322550404415,-0.003896304885835621
79,9.42,-0.0010604453870625436,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.21764356148560798,0.1741148491884864,0.1741148491884864,0.004359181651670857,-0.008892639018274381
80,9.61,0.02016985138004241,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.2287979021757015,0.18303832174056123,0.18303832174056123,0.004698554709245019,-0.00946179149406447
